#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude,Latitude,Coordinate Ref.
359,Hydropower Plant,KURTSUYU ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Daran HPP,Weir,KARAMAN,68.74,67.16,0,67.16,"32,618,408","36,619,937",,,
360,Hydropower Plant,SUATA ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Burçak Reg. Ve HPP,Weir,GİRESUN,72.45,66.29,0,66.29,38.372498,40.258569,,,
361,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kozbükü HPP,Weir,ORDU,67.761,62.34,0,62.34,1322511.5286,4937231.53999,,,DSİ
362,Hydropower Plant,KARADENİZ ELEKTRİK ÜRETİM SANAYİ ANONİM ŞİRKETİ,Uzundere I HPP,Dam,RİZE,63.068,62.152,0,62.152,"45.23931,486","401428,615",,,
363,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Adıgüzel HPP,Dam,DENİZLİ,62,62,0,62,38.09 °N,29.12 °E,,,
364,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Olur HPP,Dam,ERZURUM,65.22,60,0,60,1689496.91916,4955194.94378,1683171.91341,4954588.23853,DSİ-HES
365,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Seyhan 1 HPP,Dam,ADANA,60,60,0,60,37.02 °N,35.20 °E,,,
366,Hydropower Plant,SEYRANTEPE HES ELEKTRİK ÜRETİMİ ANONİM ŞİRKETİ,Seyrantepe HPP,Dam,ELAZIĞ,58.78,56.84,0,56.84,1510384.80459,4742929.63345,,,DSİ
367,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Derbent HPP,Dam,SAMSUN,56.4,56.4,0,56.4,41.27 °N,35.50 °E,,,
368,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kadıncık 2 HPP,Weir,MERSİN,56,56,0,56,1074736.2514,4507810.51392,1074692.3634,4508930.55824,DSİ - HES
369,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kılavuzlu HPP,Dam,KAHRAMANMARAŞ,56.4,54,0,54,37.37 °N,36.48 °E,,,
370,Hydropower Plant,BOZTEPE ENERJİ ÜRETİM PAZARLAMA ANONİM ŞİRKETİ,Gemciler Reg. Ve HPP,Weir,ADIYAMAN,8.4,7.98,7.98,0,-,-,,,
371,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kapulukaya HPP,Dam,KIRIKKALE,54,54,0,54,39.43 °N,33.29 °E,,,
372,Hydropower Plant,BATIÇİM ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kovada II HPP,Dam,ISPARTA,51.2,51.2,0,51.2,718906.503652,4575499.36405,718770.262849,4577115.90231,DSİ - HES
373,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Toros HPP,Weir,ADANA,52.05,49.99,0,49.99,1088763.60367,4535487.14575,,,DSİ
374,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Dereli HPP,Weir,GİRESUN,58.68,49.2,0,49.2,1373434.31619,4922987.88317,,,HES
375,Hydropower Plant,KARHES KARADENİZ HİDROELEKTRİK ENERJİDEN ELEKTRİK ÜRETİM SANTRALI LİMİTED ŞİRKETİ,Çırakdamı HPP,Weir,GİRESUN,58.66,49.1,0,49.1,1374305.46167,4931350.87889,,,HES
376,Hydropower Plant,AKDENİZLİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bağıştaş II HPP,Weir,ERZİNCAN,49.8,48.6,0,48.6,1391527.45182,4790133.3479,,,DSİ
377,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Dağpazarı Regülatörleri ve Birkapılı HPP,Weir,MERSİN,48.5,48.5,0,48.5,"36°43'14.5""N ","33°26'36.3""E",,,Google Maps
378,Hydropower Plant,ASSAN ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Manavgat Barajı ve HPP,Dam,ANTALYA,48,48,0,48,36.50 °N,31.31 °E,,,
379,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kemer HPP,Dam,AYDIN,48,48,0,48,37.34 °N,28.31 °E,,,
380,Hydropower Plant,ERCİYES ENERJİ ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kernek HPP,Weir,MALATYA,0.832,0.832,0.832,0,-,-,,,
381,Hydropower Plant,BEYOBASI ENERJİ ÜRETİMİ ANONİM ŞİRKETİ,Otluca HPP,Weir,MERSİN,48.768,47.7,0,47.7,893605.71372,4418467.76728,,,DSİ
382,Hydropower Plant,SENERJİ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Bayramhacılı HPP,Dam,KAYSERİ,48.5,47,0,47,38.46 °N,34.57 °E,,,
383,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karacaören 2 HPP,Dam,BURDUR,46.4,46.4,0,46.4,37.18 °n,30.48 °E,,,
384,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çine Adnan Menderes HPP,Dam,AYDIN,47.2,46.26,0,46.26,37.29 °N,28.08 °E,,,
385,Hydropower Plant,DÜZCE AKSU ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Düzce-Aksu HPP,Weir,DÜZCE,48.304,46.2,0,46.2,745932.621499,4926266.04196,,,DSİ
386,Hydropower Plant,BAREN ENERJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Kirazlık Reg. ve HPP,Weir,SİİRT,47.91,46.111,0,46.111,"37°55'23.0""N","42°03'38.8""E",,,Google Maps
387,Hydropower Plant,YÜCEYURT ENERJİ ÜRETİM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Araklı-3 Reg. ve HPP,Weir,TRABZON,0.65,0.63,0.63,0,-,-,,,
388,Hydropower Plant,BME BİRLEŞİK MÜTEAHHİTLER ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Erenler HPP,Weir,ARTVİN,51.13,45,0,45,1654493.2412,5012059.40156,,,DSİ
389,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Çambaşı Reg. ve HPP,Weir,TRABZON,45,44.1,0,44.1,1527202.33426,4941003.46745,,,HES
390,Hydropower Plant,EGENDA EGE ENERJİ ÜRETİM A.Ş.,Eğlence I HPP,Weir,ADANA,43.63,42.65,0,42.65,"34,199,509","37,416,527",,,
391,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Umut Reg. Ve HPP,Weir,ORDU,44.144,42.25,0,42.25,37.066686 ,40.701361 ,,,
392,Hydropower Plant,MELET ENERJİ ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Ordu HPP,Weir,ORDU,43.04,42,0,42,1331332.53265,4945687.80742,1331619.33145,4947467.07219,DSİ-HES
393,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Koyulhisar HPP,Weir,SİVAS,43.5,42,0,42,1313402.23911,4878643.73586,,,DSİ
394,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Andırın HPP,Weir,KAHRAMANMARAŞ,42,40.5,0,40.5,36.239090,37.539133,,,
395,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Yokuşlu Kalkandere HPP,Weir,RİZE,41.19,40.24,0,40.24,1542537.51046,4957584.141,,,HES
396,Hydropower Plant,NİKSAR ENERJİ ÜRETİM LİMİTED ŞİRKETİ,Niksar HPP,Weir,TOKAT,41.56,40.16,0,40.16,1253558.29249,4895659.98501,1251090.43333,4898854.2573,DSİ-HES
397,Hydropower Plant,DEĞİRMENÜSTÜ ENERJİ ÜRETİM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Değirmenüstü HPP,Weir,KAHRAMANMARAŞ,40.821,40.005,0,40.005,"37°34'38.0""N","36°21'14.1""E",,,Google Maps
398,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Paşalar HPP,Weir,RİZE,41.5,40,0,40,1613141.59783,4998140.6236,,,HES
399,Hydropower Plant,DİLER ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Dim HPP,Dam,ANTALYA,39.03,38.25,0,38.25,36.33 °N,32.08 °E,,,
400,Hydropower Plant,KAREN KAHRAMAN MARAŞ ELEKTRİK ÜRETİM A.Ş.,Balkusan HPP,Dam,KARAMAN,39.9,38,0,38,"33,019,409","36,697,053",,,
401,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Yenice HPP,Dam,ANKARA,37.89,37.89,0,37.89,40.03 °N, 30.51 °E ,,,
402,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Dalaman I-II-III-IV-V HPP,Weir,MUĞLA,40.275,37.5,0,37.5,536036.110999,4500080.54198,,,HES
403,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Tuna HPP,Dam,TOKAT,40.64,37.19,0,37.19,"40°23'01.5""N","37°23'29.3""E",,,Google Maps
404,Hydropower Plant,AK-ÖZLÜCE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Özlüce (Çoruh) HPP,Weir,ERZURUM,36.92,36.38,0,36.38,1589050.58754,4913797.16273,1586752.63857,4915392.9448,DSİ-HES
405,Hydropower Plant,MURAT HES ENERJİ ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Murat HPP,Weir,ADIYAMAN,36.801,35.628,0,35.628,"38,130,798","37,563,086",,,
406,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Koçlu HPP,Weir,GİRESUN,36.7,35.6,0,35.6,1392512.40287,4936316.4085,,,HES
407,Hydropower Plant,PURE ENERJİ ÜRETİMİ ANONİM ŞİRKETİ,Sefaköy HPP,Dam,KARS,35,33.11,0,33.11,40.08 °N,43.21 °E,,,
408,Hydropower Plant,AKSU MADENCİLİK SANAYİ VE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Tefen HPP,Weir,KARABÜK,36.75,33,0,33,847559.635044,4978073.34238,845375.534007,4981209.30172,DSİ -HES
409,Hydropower Plant,MASAT ENERJİ ELEKTRİK ÜRETİM VE TİCARET LİMİTED ŞİRKETİ,Midilli HPP,Weir,AMASYA,33.423,32.548,0,32.548,36” 01.171’ E, 40” 44.691’ N,,,
411,Hydropower Plant,POKUT ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Arpa HPP,Weir,ARTVİN,32.919,32.412,0,32.412,"41,830,444","41,314,950",,,
412,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıgöze HPP,Dam,SİVAS,32,32,0,32,40.13 °N,38.05 °E,,,
413,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karacaören HPP,Dam,BURDUR,32,32,0,32,37.22 °N,30.49 °E,,,
414,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Narinkale HPP,Weir,KARS,32,30.4,0,30.4,1782867.10065,4898860.58766,,,DSİ
415,Hydropower Plant,TÜM ENERJİ VE TİCARET ANONİM ŞİRKETİ,Pınar HPP,Weir,ADIYAMAN,31.5,30.09,0,30.09,1625661.58857,4974344.80994,,,DSİ
416,Hydropower Plant,CEYKAR ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bağışlı HPP,Weir,HAKKARİ,30.9,29.571,0,29.571,1886903.77975,4635227.44858,,,DSİ
417,Hydropower Plant,AKENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ (ESKİ ÜNVAN AKKUR ENERJİ ÜRETİM TİCARET SANAYİ ANONİM ŞİRKETİ),Feke I HPP,Weir,ADANA,30,29.4,0,29.4,1165875.15875,4590319.63107,1165427.46749,4590150.7772,DSİ-HES
418,Hydropower Plant,ADACAMİ ENERJİ EL. ÜR. SANAYİ VE TİCARET ANONİM ŞİRKETİ,Adacami HPP,Weir,RİZE,29.902,29.304,0,29.304,1553513.44903,4973542.0669,,,HES
419,Hydropower Plant,ELİF GRUP ENERJİ ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Yazılı I-II-III HPP,Weir,MERSİN,7.355,6.62,6.62,0,-,-,,,
420,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Serap HPP,Weir,KARS,30,28.96,0,28.96,1773070.69916,4896946.68516,,,DSİ
421,Hydropower Plant,TEKTUĞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kalealtı HPP,Weir,OSMANİYE,29.84,28.814,0,28.814,1190648.68874,4567409.38081,,,DSİ
422,Hydropower Plant,AKÇAY HES ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Akçay HPP,Weir,AYDIN,31.98,28.78,0,28.78,"37°47'18.2""N","28°18'41.1""E",,,Google Maps
423,Hydropower Plant,"LİMAK YATIRIM, ENERJİ ÜRETİM DAĞITIM İŞLETME HİZMETLERİ VE İNŞAAT ANONİM ŞİRKETİ",Uzunçayır Barajı ve HPP,Dam,TUNCELİ,84,82,82,0,38.59 °N,39.31 °E,,,
424,Hydropower Plant,ENTEK ENERJİ TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Cindere HPP,Dam,DENİZLİ,29.31,28.723,0,28.723,38.06 °N,29.02 °E,,,
