#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_old,Latitude_old,Coordinate Ref.
347,Hydropower Plant,ÇANAKÇI HES ELEKTRİK ÜRETİM A.Ş.,Araklı Karadere Prj Erikli-Akocak Rg ve Akocak HPP,Weir,TRABZON,82.46,80.1,0,80.1,39.8988129269777,40.6807864607797,,,
542,Hydropower Plant,AK-SERPİN ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Serpin Regülatörü ve HPP,,GİRESUN,13.42,12,0,12,38.07312,40.675431,,,
341,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kürtün HPP,Dam,GÜMÜŞHANE,85,85,0,85,39.1406531450435,40.6727730123352,,,
437,Hydropower Plant,2M ENERJİ ÜRETİM ANONİM ŞİRKETİ,Sırakonaklar HPP,Weir,ERZURUM,20.13,18,18,0,41.226812929688,40.6703769745853,1610261.38688,4938123.2565,DSİ-HES
496,Hydropower Plant,BERTA ELEKT.ÜR.A.Ş.,Tuzlaköy-Serge Reg. Ve HPP,,ERZURUM,17.34,16.66,0,16.66,42.1957704203195,40.66807821561,,,Google Maps
486,Hydropower Plant,ENSU ELEKTRİK ENERJİ ÜRETİM LİMİTED ŞİRKETİ,Çiğdem Reg. ve HPP,,GİRESUN,18.2,17.7,0,17.7,38.118439,40.665405,,,
353,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Tepekışla Barajı ve HPP,Dam,TOKAT,70.617,69.627,-1.4210854715202E-14,69.627,36.704292,40.659025,,,
332,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Torul HPP,Weir,GÜMÜŞHANE,105.6,103.26,0,103.26,39.2105748057492,40.6436152144598,,,HES
432,Hydropower Plant,YEDİGÖL HİDROELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Aksu (Yankol) HPP,Weir,ERZURUM,27.88,27.272,0,27.272,41.070328,40.635841,,,
358,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Büyükdüz HPP,Weir,GÜMÜŞHANE,70.844,68.862,0,68.862,39.10568407,40.62171479,,,HES
426,Hydropower Plant,YENİ DORUK ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Doruk Reg. ve HPP,Weir,GİRESUN,28.894,28.278,0,28.278,38.306643131781,40.5663832582705,,,Google Maps
337,Hydropower Plant,SENERJİ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Güllübağ Barajı ve HPP,Dam,ERZURUM,99,96,0,96,41.0460286564132,40.5432869794634,,,
543,Hydropower Plant,KAYEN BETA ENERJİ ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Büyükbahçe HPP,,ERZURUM,12.1,11.7,0,11.7,41.369019,40.543026,,,
512,Hydropower Plant,İLCAN ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Yazyurdu Reg. ve HPP,,,15.52,14.9,0,14.9,41.0380833122069,40.5397136198829,,,
485,Hydropower Plant,ENTEK ENERJİ TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Boztepe HPP,,ORDU,18.54,18.15,0,18.15,37.689929,40.514125,,,
340,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Köklüce HPP,Dam,TOKAT,90,90,0,90,36.9266466354937,40.4936598887938,1248711.44171,4896383.76718,DSİ-HES
524,Hydropower Plant,İDOL ENERJİ ÜRETİM DAĞITIM PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ,Güzeloluk HPP,,GÜMÜŞHANE,13.99,13.58,0,13.58,39.0960906046717,40.4935015011961,,,Google Maps
440,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Tortum HPP,Weir,ERZURUM,26.2,26.2,0,26.2,41.5065881381766,40.4887006084687,"1647937,65853 (Tortum I) 1648716,093 (Tortum II)","4940225,03289 (Tortum I) 4945284,,863 (Tortum II)", DSİ-HES 
396,Hydropower Plant,NİKSAR ENERJİ ÜRETİM LİMİTED ŞİRKETİ,Niksar HPP,Weir,TOKAT,41.56,40.16,0,40.16,36.9905045208544,40.4846646439947,1251090.43333,4898854.2573,DSİ-HES
435,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Almus HPP,Dam,TOKAT,27,27,0,27,36.8999112940645,40.4068463298665,,,
444,Hydropower Plant,LASKAR ENERJİ ÜRETİM PAZARLAMA ANONİM ŞİRKETİ,İncirli Reg. Ve HPP,Weir,RİZE,28.53,25.2,0,25.2,40.954205,40.400763,,,
403,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Tuna HPP,Dam,TOKAT,40.64,37.19,0,37.19,37.388945,40.377452,,,Google Maps
545,Hydropower Plant,TRABZON ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Üçhanlar Regülatörü ve HPP,,TRABZON,12.09,11.371,0,11.371,40.768355,40.35965,,,
497,Hydropower Plant,ÜÇHARMANLAR ENERJİ ÜRETİM LİMİTED ŞİRKETİ,Üçharmanlar Reg. ve HPP,,TRABZON,17.44,16.64,0,16.64,40.788114,40.358276,,,
