"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Kartaltaşı HES","294","Kartaltaşı HES","Özel(Yap İşlet Devret)","Ön rapor","Kaman Ç.","Point","esriGeometryPoint","39.105439747954414","38.199403233329541","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Büyükdüz HES","1596","Büyükdüz HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.105684074245161","40.621714790538732","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Miraç","1424","Miraç","Özel(Yap İşlet Devret)","Fizibilite","Yenibardak Ç.","Point","esriGeometryPoint","39.162433173741512","38.182625424999941","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı HES","755","Çanakçı HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.342242180555594","40.953252308663274","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yaylabaşı HES","751","Yaylabaşı HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.507796423482624","40.792375363763583","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Söğüt HES","800","Söğüt HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.534630097473794","40.973784764204652","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Sedir HES","801","Sedir HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.594557341109123","41.01081569223274","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Pülümür HES","372","Pülümür HES","Kamu","planlama","Pülümür Ç.","Point","esriGeometryPoint","39.611664684411537","39.107495966889893","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yeniköy HES","1603","Yeniköy HES","Kamu","Null","Null","Point","esriGeometryPoint","39.68746643378023","40.860301979597381","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Cinali HES","685","Cinali HES","Kamu","SKHA","Null","Point","esriGeometryPoint","39.690652251871818","40.836656184498615","4326","4326",""
