layerId,layerName,displayFieldName,value,attributes__OBJECTID,attributes__HES Adı,attributes__Kurum,attributes__Aşaması(seç),attributes__Akarsu Adı,attributes__SHAPE,geometryType,geometry__x,geometry__y,geometry__spatialReference__wkid,geometry__spatialReference__latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Darbogaz HES,185,Darbogaz HES,Kamu,"master plan, öninceleme",Darboğaz D.,Point,esriGeometryPoint,38.3378079876474,39.569107539204,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Altıntepe HES,1399,Altıntepe HES,Özel(Yap İşlet),Isletmede,S5 Sulama Kanalı,Point,esriGeometryPoint,38.3956302559199,40.0990020770599,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bağıştaş-2 HES,204,Bağıştaş-2 HES,Kamu,planlama,Fırat,Point,esriGeometryPoint,38.4100792642267,39.4280398270606,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Angutlu HES,1558,Angutlu HES,Kamu,FZB,Null,Point,esriGeometryPoint,38.4417301180556,40.7603055735383,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karadağ HES,196,Karadağ HES,Kamu,"master plan, öninceleme",Karabudak D.,Point,esriGeometryPoint,38.4715248822842,39.81803572515,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kandil,1474,Kandil,Özel(Yap İşlet Devret),Fizibilite,"Birimşe Ç.,Gölgeli Ç.",Point,esriGeometryPoint,38.5574190539768,37.9507010953733,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koru HES,312,Koru HES,Özel(Yap İşlet Devret),Fizibilite,Koru Ç.,Point,esriGeometryPoint,38.567039533486,39.0344637215295,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kırım HES,315,Kırım HES,Özel(Yap İşlet Devret),Fizibilite,Gelipolan D.  Geliseyyan D.,Point,esriGeometryPoint,38.5894317501393,38.1539499716697,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kalen-I-2 HES,707,Kalen-I-2 HES,Kamu,isletmede,Çakrak D.,Point,esriGeometryPoint,38.595354837144,40.6294204339005,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yağlıdere HES,878,Yağlıdere HES,Kamu,"master plan, öninceleme",Null,Point,esriGeometryPoint,38.6284559788428,40.8585893317524,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karakuş ,1411,Karakuş,Özel(Yap İşlet Devret),Fizibilite,Kahta Ç.,Point,esriGeometryPoint,38.6331488430208,37.8404074588997,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koçlu HES,1567,Koçlu HES,Kamu,FZB,Null,Point,esriGeometryPoint,38.6529570117226,40.7945930200478,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çamköy HES,768,Çamköy HES,Kamu,FZB,Null,Point,esriGeometryPoint,38.6981186290068,40.849769310373,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Altköy HES,197,Altköy HES,Kamu,"master plan, öninceleme",Köroğlu D.,Point,esriGeometryPoint,38.7015489845927,39.9556604964131,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gem HES,201,Gem HES,Kamu,"master plan, öninceleme",Kızıliniş D.,Point,esriGeometryPoint,38.7314513357091,40.0200069090085,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Avluca HES,1576,Avluca HES,Kamu,FZB,Null,Point,esriGeometryPoint,38.7473231407805,40.7560811397506,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Keban HES,345,Keban HES,Kamu,isletmede,Fırat N.,Point,esriGeometryPoint,38.7544432141021,38.8094854261162,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çay HES,767,Çay HES,Kamu,Başvuru,Null,Point,esriGeometryPoint,38.784849922776,40.8915399028227,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Büyükçay,1492,Büyükçay,Kamu,"master plan, öninceleme",Büyükçay,Point,esriGeometryPoint,38.8091798076785,37.9217569713799,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kaynar -2 HES,151,Kaynar -2 HES,Özel(Yap İşlet),SKHA,Seme D.,Point,esriGeometryPoint,38.8154734487833,40.1232332785385,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Armutlu HES,200,Armutlu HES,Kamu,"master plan, öninceleme",Kızıleniş D.,Point,esriGeometryPoint,38.8446785448724,39.9924879921551,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Göcen HES,871,Göcen HES,Kamu,"master plan, öninceleme",Null,Point,esriGeometryPoint,38.9162692711451,40.814367527152,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karlıtepe  HES,786,Karlıtepe  HES,Kamu,fzb,Null,Point,esriGeometryPoint,39.0030522229836,40.4921791880747,4326,4326
