results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Hidronehir -2,630,Hidronehir -2,Kamu,4,Devres Ç.,Point,esriGeometryPoint,34.411979977357156,41.099944791773005,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Hidronehir HES,1723,Hidronehir HES,Özel(Yap İşlet),Ön rapor,Kızılırmak,Point,esriGeometryPoint,34.41611833915483,41.09986216735565,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bolkar HES,9,Bolkar HES,Özel(Yap İşlet),Fizibilite,Irmaközü D.,Point,esriGeometryPoint,34.58811434412455,37.28319005152183,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ahmetli HES,68,Ahmetli HES,Özel(Yap İşlet),Fizibilite,Körkün Ç.,Point,esriGeometryPoint,35.13615307796384,37.31200996776931,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Akıncı HES,1018,Akıncı HES,Özel(Yap İşlet),EPDK,Kızılırmak,Point,esriGeometryPoint,35.210285114922875,38.83947203258277,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Toros HES,49,Toros HES,Özel(Yap İşlet),SKHA,Çakıt D.,Point,esriGeometryPoint,35.22466735080649,37.29370066348345,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yamula HES,1015,Yamula HES,Özel(Yap İşlet),Lisans,Kızılırmak,Point,esriGeometryPoint,35.266861685519004,38.901994844291224,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,İncesu HES,417,İncesu HES,Özel(Yap İşlet Devret),SKHA,Çekerek,Point,esriGeometryPoint,35.32979284235876,40.27355306368137,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Seyhan -2 HES,111,Seyhan -2 HES,Özel(Yap İşlet),Isletmede,Seyhan,Point,esriGeometryPoint,35.335049253641124,36.978569063891086,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çamlıca-I HES,1007,Çamlıca-I HES,Özel(Yap İşlet),Lisans,Zamantı,Point,esriGeometryPoint,35.49378341111942,37.919821022925625,4326,4326
