"layerId","layerName","displayFieldName","value","attributes__OBJECTID","attributes__HES Adı","attributes__Kurum","attributes__Aşaması(seç)","attributes__Akarsu Adı","attributes__SHAPE","geometryType","geometry__x","geometry__y","geometry__spatialReference__wkid","geometry__spatialReference__latestWkid"
"25","İşletme Durumuna Göre HES","HES_ADI","Oylum -3 HES","852","Oylum -3 HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.065909087410979","40.747781585446774","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Manahoz HES","682","Manahoz HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.102855504548153","40.856828051971057","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yukarı Manahoz HES","1508","Yukarı Manahoz HES","Kamu","isletmede","Manahoz D.","Point","esriGeometryPoint","40.117263817718126","40.725619158970702","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Karasu -7 HES","178","Karasu -7 HES","Kamu","planlama","Karasu Ç.","Point","esriGeometryPoint","40.177431278630237","39.907588207503359","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Karasu -6 HES","176","Karasu -6 HES","Kamu","planlama","Karasu Ç.","Point","esriGeometryPoint","40.210359612953937","39.918415703861577","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Uzungöl-I  HES","718","Uzungöl-I  HES","Özel(Yap İşlet Devret)","Fizibilite","Haldezen Suyu","Point","esriGeometryPoint","40.274339912449726","40.659722811945272","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ballıca HES","875","Ballıca HES","Kamu","master plan, öninceleme","Null","Point","esriGeometryPoint","40.280055318933428","40.890082201346303","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Üçharmanlar HES","1548","Üçharmanlar HES","Özel(Yap İşlet Devret)","Insa Halinde","Baltacı","Point","esriGeometryPoint","40.356631783938184","40.778228945625465","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Üçhanlar (Kemerçayır) HES","729","Üçhanlar (Kemerçayır) HES","Kamu","SKHA","Null","Point","esriGeometryPoint","40.361073532408646","40.750783236718625","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kemerçayır HES","675","Kemerçayır HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.3611200667264","40.751376755860321","4326","4326"
